id,activity_date,day_type,week_number,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,sedentary_minutes,calories,total_minutes_asleep,sleep_efficiency,type_of_sleeper,sedentary_percentage
2026352035,2016-04-02,Weekend,13,Sedentary User,1229,1229,0,0,795,1237,,,,55.21
2026352035,2016-04-03,Weekend,13,Sedentary User,2308,2308,0,0,720,1330,,,,50
2026352035,2016-04-04,Weekday,14,Sedentary User,6679,6679,0,0,644,1583,,,,44.72
2026352035,2016-04-05,Weekday,14,Sedentary User,5645,5645,0,0,621,1538,538,0.96,Restorative Sleeper,43.13
2026352035,2016-04-06,Weekday,14,Sedentary User,3180,3180,0,0,738,1421,,,,51.25
2026352035,2016-04-07,Weekday,14,Sedentary User,2767,2767,0,0,673,1392,,,,46.74
2026352035,2016-04-08,Weekday,14,Sedentary User,3762,3762,0,0,719,1425,,,,49.93
2026352035,2016-04-09,Weekend,14,Sedentary User,3098,3098,0,0,700,1413,,,,48.61
2026352035,2016-04-10,Weekend,14,Sedentary User,5142,5142,0,0,654,1515,,,,45.42
2026352035,2016-04-11,Weekday,15,Sedentary User,3279,3279,0,0,694,1405,,,,48.19
2026352035,2016-04-12,Weekday,15,Sedentary User,1019,1019,0,0,223,600,,,,15.49
2320127002,2016-04-01,Weekday,13,Sedentary User,0,,0,0,1440,1324,,,,100
2320127002,2016-04-02,Weekend,13,Sedentary User,0,,0,0,1440,1324,,,,100
2320127002,2016-04-03,Weekend,13,Sedentary User,0,,0,0,1440,1324,,,,100
2320127002,2016-04-04,Weekday,14,Sedentary User,0,,0,0,1440,1324,,,,100
2320127002,2016-04-05,Weekday,14,Sedentary User,4931,4931,0,0,1265,1708,,,,87.85
2320127002,2016-04-06,Weekday,14,Sedentary User,6999,6999,0,0,1120,1950,,,,77.78
2320127002,2016-04-07,Weekday,14,Sedentary User,1846,1846,0,0,1347,1508,,,,93.54
2320127002,2016-04-08,Weekday,14,Sedentary User,3417,3417,0,0,1287,1625,,,,89.38
2320127002,2016-04-09,Weekend,14,Moderate Mover,4863,4863,1,11,1220,1772,,,,84.72
2320127002,2016-04-10,Weekend,14,Sedentary User,2277,2277,0,0,1337,1530,,,,92.85
2320127002,2016-04-11,Weekday,15,Moderate Mover,11230,11230,10,2,1038,2206,,,,72.08
2320127002,2016-04-12,Weekday,15,Sedentary User,2098,2098,0,0,617,790,,,,42.85
2347167796,2016-03-29,Weekday,13,High Efficiency Mover,10272,10272,2,58,700,2041,,,,48.61
2347167796,2016-03-30,Weekday,13,High Efficiency Mover,10533,10533,21,35,615,2187,,,,42.71
2347167796,2016-03-31,Weekday,13,Sedentary User,6760,6760,0,0,613,1929,,,,42.57
2347167796,2016-04-01,Weekday,13,Moderate Mover,8328,8328,0,33,804,1935,,,,55.83
2347167796,2016-04-02,Weekend,13,Moderate Mover,15459,15459,51,16,583,2438,,,,40.49
2347167796,2016-04-03,Weekend,13,Sedentary User,7485,7485,0,0,491,2035,,,,34.1
2347167796,2016-04-04,Weekday,14,Moderate Mover,10254,10254,21,25,638,2099,,,,44.31
2347167796,2016-04-05,Weekday,14,Moderate Mover,10114,10114,18,9,696,2096,,,,48.33
2347167796,2016-04-06,Weekday,14,High Efficiency Mover,11107,11107,14,46,759,2058,,,,52.71
2347167796,2016-04-07,Weekday,14,Moderate Mover,10320,10320,15,32,1002,2338,,,,69.58
2347167796,2016-04-08,Weekday,14,Low Intensity Mover,10209,10209,2,6,711,2104,,,,49.38
2347167796,2016-04-09,Weekend,14,Moderate Mover,16081,16081,16,32,970,2488,,,,67.36
2347167796,2016-04-10,Weekend,14,Moderate Mover,10078,10078,12,3,463,2164,,,,32.15
2347167796,2016-04-11,Weekday,15,High Efficiency Mover,10001,10001,5,52,788,2009,,,,54.72
2347167796,2016-04-12,Weekday,15,Sedentary User,0,,0,0,425,399,,,,29.51
2873212765,2016-04-01,Weekday,13,Sedentary User,890,890,0,0,1399,1335,,,,97.15
