id,activity_date,day,day_type,week_number,movement_quality,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,
2347167796,2016-03-29,Tuesday,Weekday,13,0.005841121,High Efficiency Mover,10272,10272,2,58,208,700,2041,
2347167796,2016-03-30,Wednesday,Weekday,13,0.005316624,High Efficiency Mover,10533,10533,21,35,255,615,2187,
2347167796,2016-03-31,Thursday,Weekday,13,0,Sedentary User,6760,6760,0,0,250,613,1929,
2347167796,2016-04-01,Friday,Weekday,13,0.003962536,Moderate Mover,8328,8328,0,33,212,804,1935,
2347167796,2016-04-02,Saturday,Weekend,13,0.004334045,Moderate Mover,15459,15459,51,16,327,583,2438,
2347167796,2016-04-03,Sunday,Weekend,13,0,Sedentary User,7485,7485,0,0,324,491,2035,
2347167796,2016-04-04,Monday,Weekday,14,0.004486054,Moderate Mover,10254,10254,21,25,231,638,2099,
2347167796,2016-04-05,Tuesday,Weekday,14,0.002669567,Moderate Mover,10114,10114,18,9,269,696,2096,
2347167796,2016-04-06,Wednesday,Weekday,14,0.005401999,High Efficiency Mover,11107,11107,14,46,196,759,2058,
2347167796,2016-04-07,Thursday,Weekday,14,0.004554264,Moderate Mover,10320,10320,15,32,315,1002,2338,
2347167796,2016-04-08,Friday,Weekday,14,0.000783622,Low Intensity Mover,10209,10209,2,6,316,711,2104,
2347167796,2016-04-09,Saturday,Weekend,14,0.002984889,Moderate Mover,16081,16081,16,32,401,970,2488,
2347167796,2016-04-10,Sunday,Weekend,14,0.001488391,Moderate Mover,10078,10078,12,3,303,463,2164,
2347167796,2016-04-11,Monday,Weekday,15,0.00569943,High Efficiency Mover,10001,10001,5,52,196,788,2009,
2347167796,2016-04-12,Tuesday,Weekday,15,0,Sedentary User,0,,0,0,0,425,399,
2873212765,2016-04-01,Friday,Weekday,13,0,Sedentary User,890,890,0,0,41,1399,1335,
2873212765,2016-04-02,Saturday,Weekend,13,0,Sedentary User,2214,2214,0,0,197,1243,1559,
2873212765,2016-04-03,Sunday,Weekend,13,0.002356021,Moderate Mover,7640,7640,3,15,315,1107,1845,
2873212765,2016-04-04,Monday,Weekday,14,0.003088644,Moderate Mover,9713,9713,6,24,355,1055,2046,
2873212765,2016-04-05,Tuesday,Weekday,14,0,Sedentary User,8432,8432,0,0,374,1066,1953,
2873212765,2016-04-06,Wednesday,Weekday,14,0,Sedentary User,7350,7350,0,0,382,1058,1910,
2873212765,2016-04-07,Thursday,Weekday,14,0.002352186,Moderate Mover,9353,9353,5,17,363,1055,2035,
2873212765,2016-04-08,Friday,Weekday,14,0,Sedentary User,7157,7157,0,0,380,1060,1944,
2873212765,2016-04-09,Saturday,Weekend,14,0.003828973,Moderate Mover,14103,14103,46,8,288,1098,2257,
2873212765,2016-04-10,Sunday,Weekend,14,0.001701323,Moderate Mover,5290,5290,1,8,251,1180,1724,
2873212765,2016-04-11,Monday,Weekday,15,0,Sedentary User,7497,7497,0,0,357,882,1741,
2873212765,2016-04-12,Tuesday,Weekday,15,0,Sedentary User,0,,0,0,0,1440,0,
2891001357,2016-03-29,Tuesday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1920,
2891001357,2016-03-30,Wednesday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1920,
2891001357,2016-03-31,Thursday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1920,
2891001357,2016-04-01,Friday,Weekday,13,0,Sedentary User,0,,0,660,0,780,4562,
2891001357,2016-04-02,Saturday,Weekend,13,0,Sedentary User,4126,4126,0,0,720,720,2881,
2891001357,2016-04-03,Sunday,Weekend,13,0,Sedentary User,0,,0,0,0,1440,1920,
2891001357,2016-04-04,Monday,Weekday,14,0,Sedentary User,0,,0,0,0,1440,1920,
2891001357,2016-04-05,Tuesday,Weekday,14,0,Sedentary User,2063,2063,0,0,630,99,1144,
3372868164,2016-04-01,Friday,Weekday,13,0,Sedentary User,5785,5785,0,0,311,1129,1852,
3372868164,2016-04-02,Saturday,Weekend,13,0.003278689,Moderate Mover,7625,7625,24,1,341,1074,2069,
3372868164,2016-04-03,Sunday,Weekend,13,0,Sedentary User,4706,4706,0,0,299,1141,1816,
3372868164,2016-04-04,Monday,Weekday,14,0.004606722,Moderate Mover,5861,5861,20,7,233,1180,1878,
3372868164,2016-04-05,Tuesday,Weekday,14,0,Sedentary User,4460,4460,0,0,248,1192,1787,
3372868164,2016-04-06,Wednesday,Weekday,14,0.003278177,Moderate Mover,6406,6406,17,4,325,1094,2010,
3372868164,2016-04-07,Thursday,Weekday,14,0.003111472,Moderate Mover,7392,7392,14,9,332,1085,2038,
3372868164,2016-04-08,Friday,Weekday,14,0,Sedentary User,5551,5551,0,0,282,1158,1815,
3372868164,2016-04-09,Saturday,Weekend,14,0.003511952,Moderate Mover,8827,8827,21,10,346,1063,2062,
3372868164,2016-04-10,Sunday,Weekend,14,0.005577006,High Efficiency Mover,4662,4662,22,4,152,735,1276,
3977333714,2016-04-01,Friday,Weekday,13,0,Sedentary User,4499,4499,0,0,168,842,1288,
